Opioid Data Dashboard Indicator,Data Year,Group,Characteristics,Rate Rate (95% CI),Data Source
"Needing illicit drug or alcohol treatment in the past year, but not receiving illicit drug or alcohol treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Age Group,26-34 years,12.2 (9.6 - 15.4),Data Source: National Survey on Drug Use and Health
"Needing illicit drug or alcohol treatment in the past year, but not receiving illicit drug or alcohol treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Age Group,35+ years,3.9 (3.0 - 5.0),Data Source: National Survey on Drug Use and Health
"Needing illicit drug or alcohol treatment in the past year, but not receiving illicit drug or alcohol treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Race and Ethnicity,Black NH,6.5 (4.8 - 8.7),Data Source: National Survey on Drug Use and Health
"Needing illicit drug or alcohol treatment in the past year, but not receiving illicit drug or alcohol treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Race and Ethnicity,Hispanic,6.7 (5.0 - 9.0),Data Source: National Survey on Drug Use and Health
"Needing illicit drug or alcohol treatment in the past year, but not receiving illicit drug or alcohol treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Race and Ethnicity,Other NH,5.3 (3.7 - 7.5),Data Source: National Survey on Drug Use and Health
"Needing illicit drug or alcohol treatment in the past year, but not receiving illicit drug or alcohol treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Race and Ethnicity,White NH,6.4 (5.4 - 7.7),Data Source: National Survey on Drug Use and Health
"Needing illicit drug or alcohol treatment in the past year, but not receiving illicit drug or alcohol treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Sex,Female,4.6 (3.8 - 5.4),Data Source: National Survey on Drug Use and Health
"Needing illicit drug or alcohol treatment in the past year, but not receiving illicit drug or alcohol treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Sex,Male,8.3 (7.1 - 9.8),Data Source: National Survey on Drug Use and Health
"Needing illicit drug or alcohol treatment in the past year, but not receiving illicit drug or alcohol treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Total,New York State,6.4 (5.6 - 7.3),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Age Group,12-17 years,2.5 (1.8 - 3.6),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Age Group,18-25 years,7.3 (5.9 - 9.0),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Age Group,26-34 years,3.7 (2.5 - 5.4),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Age Group,35+ years,0.9 (0.6 - 1.4),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Race and Ethnicity,Black NH,2.9 (2.0 - 4.3),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Race and Ethnicity,Hispanic,3.1 (2.2 - 4.4),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Race and Ethnicity,Other NH,1.2 (0.6 - 2.3),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Race and Ethnicity,White NH,2.1 (1.7 - 2.7),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Sex,Female,1.3 (0.9 - 1.8),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Sex,Male,3.4 (2.8 - 4.2),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2015-2016,Total,New York State,2.3 (2.0 - 2.7),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Age Group,12-17 years,2.7 (1.9 - 3.8),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Age Group,18-25 years,7.4 (5.7 - 9.7),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Age Group,26-34 years,3.6 (2.5 - 5.2),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Age Group,35+ years,1.0 (0.7 - 1.6),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Race and Ethnicity,Black NH,3.6 (2.3 - 5.8),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Race and Ethnicity,Hispanic,2.8 (1.9 - 4.0),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Race and Ethnicity,Other NH,1.2 (0.6 - 2.3),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Race and Ethnicity,White NH,2.2 (1.7 - 2.7),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Sex,Female,1.4 (1.0 - 1.8),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Sex,Male,3.5 (2.8 - 4.3),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2016-2017,Total,New York State,2.4 (2.0 - 2.8),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Age Group,12-17 years,2.1 (1.4 - 3.1),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Age Group,18-25 years,7.6 (6.2 - 9.4),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Age Group,26-34 years,4.3 (2.8 - 6.5),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Age Group,35+ years,1.0 (0.6 - 1.7),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Race and Ethnicity,Black NH,2.8 (1.6 - 4.8),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Race and Ethnicity,Hispanic,2.6 (1.7 - 4.0),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Race and Ethnicity,Other NH,1.6 (1.0 - 2.7),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Race and Ethnicity,White NH,2.4 (1.9 - 3.1),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Sex,Female,1.5 (1.1 - 2.0),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Sex,Male,3.5 (2.6 - 4.5),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2017-2018,Total,New York State,2.4 (2.0 - 3.0),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Age Group,12-17 years,2.8 (2.0 - 4.1),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Age Group,18-25 years,7.4 (6.0 - 9.2),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Age Group,26-34 years,5.2 (3.5 - 7.5),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Age Group,35+ years,1.2 (0.7 - 1.8),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Race and Ethnicity,Black NH,3.0 (2.0 - 4.4),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Race and Ethnicity,Hispanic,2.4 (1.5 - 3.9),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Race and Ethnicity,Other NH,2.7 (1.6 - 4.3),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Race and Ethnicity,White NH,2.7 (2.0 - 3.6),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Sex,Female,1.9 (1.4 - 2.5),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Sex,Male,3.5 (2.7 - 4.7),Data Source: National Survey on Drug Use and Health
"Needing illicit drug treatment in the past year, but not receiving illicit drug treatment at a specialty facility, among persons aged 12 years or older",2018-2019,Total,New York State,2.7 (2.2 - 3.3),Data Source: National Survey on Drug Use and Health
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,18 - 24 years,197,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,18 - 24 years,197,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,25 - 34 years,390.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,25 - 34 years,390.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,35 - 44 years,552,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,35 - 44 years,552,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,45 - 54 years,791.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,45 - 54 years,791.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,55 - 64 years,827.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,55 - 64 years,827.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,65+ years,753.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group,65+ years,753.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 18 - 24 years,228.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 18 - 24 years,228.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 25 - 34 years,440.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 25 - 34 years,440.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 35 - 44 years,591.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 35 - 44 years,591.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 45 - 54 years,813.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 45 - 54 years,813.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 55 - 64 years,823.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 55 - 64 years,823.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 65+ years,819.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Female & 65+ years,819.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 18 - 24 years,166.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 18 - 24 years,166.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 25 - 34 years,339.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 25 - 34 years,339.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 35 - 44 years,510.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 35 - 44 years,510.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 45 - 54 years,769.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 45 - 54 years,769.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 55 - 64 years,831.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 55 - 64 years,831.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 65+ years,661.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Age Group by Sex,Male & 65+ years,661.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Region,NYS Excl NYC,591,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Region,NYS Excl NYC,591,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Region,New York City,316.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Region,New York City,316.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Sex,Female,514.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Sex,Female,514.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Sex,Male,431.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Sex,Male,431.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Total,New York State,474.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2012,Total,New York State,474.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,18 - 24 years,184.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,18 - 24 years,184.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,25 - 34 years,371.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,25 - 34 years,371.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,35 - 44 years,555.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,35 - 44 years,555.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,45 - 54 years,812.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,45 - 54 years,812.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,55 - 64 years,900.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,55 - 64 years,900.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,65+ years,861.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group,65+ years,861.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 18 - 24 years,217.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 18 - 24 years,217.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 25 - 34 years,427.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 25 - 34 years,427.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 35 - 44 years,604.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 35 - 44 years,604.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 45 - 54 years,850,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 45 - 54 years,850,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 55 - 64 years,909.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 55 - 64 years,909.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 65+ years,952.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Female & 65+ years,952.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 18 - 24 years,152.7,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 18 - 24 years,152.7,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 25 - 34 years,314.7,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 25 - 34 years,314.7,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 35 - 44 years,503.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 35 - 44 years,503.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 45 - 54 years,772.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 45 - 54 years,772.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 55 - 64 years,889.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 55 - 64 years,889.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 65+ years,736.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Age Group by Sex,Male & 65+ years,736.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Region,NYS Excl NYC,621.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Region,NYS Excl NYC,621.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Region,New York City,337,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Region,New York City,337,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Sex,Female,553.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Sex,Female,553.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Sex,Male,444.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Sex,Male,444.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Total,New York State,500.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2013,Total,New York State,500.5,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,18 - 24 years,165.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,18 - 24 years,165.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,25 - 34 years,331.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,25 - 34 years,331.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,35 - 44 years,517.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,35 - 44 years,517.4,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,45 - 54 years,772.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,45 - 54 years,772.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,55 - 64 years,893.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,55 - 64 years,893.9,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,65+ years,857.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group,65+ years,857.3,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 18 - 24 years,194.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 18 - 24 years,194.1,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 25 - 34 years,385,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 25 - 34 years,385,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 35 - 44 years,565.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 35 - 44 years,565.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 45 - 54 years,813.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 45 - 54 years,813.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 55 - 64 years,903.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 55 - 64 years,903.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 65+ years,947.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Female & 65+ years,947.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 18 - 24 years,137.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 18 - 24 years,137.2,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 25 - 34 years,276.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 25 - 34 years,276.8,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 35 - 44 years,467.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 35 - 44 years,467.6,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 45 - 54 years,730,Data Source: NYS PMP Data as of April 2024
"Opioid analgesics prescription, crude rate per 1,000 population",2014,Age Group by Sex,Male & 45 - 54 years,730,Data Source: NYS PMP Data as of April 2024
